Segment,Category,Sub-Category,City,Order Date,Postal Code,Region,Ship Status,State,Profit,Quantity,Sales
Consumer,Technology,Phone and Fax,Franklin,30-Nov-20,2038,Eastern,Late Delivery,Massachusetts,4,2,73
Corporate,Office Supplies,Printing Paper,Franklin,9-Jul-19,2038,Eastern,Early Delivery,Massachusetts,11,3,1
Corporate,Office Furniture,Standard Desks,Franklin,27-Aug-21,2038,Eastern,Early Delivery,Massachusetts,4,3,10
Consumer,Office Furniture,Standard Desks,Franklin,30-Nov-20,2038,Eastern,Late Delivery,Massachusetts,5,4,27
Consumer,Office Furniture,Standard Desks,Franklin,12-May-18,2038,Eastern,Early Delivery,Massachusetts,2,6,19
Corporate,Office Supplies,Storage and Archive,Franklin,20-Aug-21,2038,Eastern,On Schedule,Massachusetts,1,4,208
Home Office,Office Supplies,Storage and Archive,Franklin,1-Sep-19,2038,Eastern,Late Delivery,Massachusetts,11,5,17
Corporate,Office Furniture,Storage Cabinets,Franklin,4-Dec-20,2038,Eastern,Late Delivery,Massachusetts,6,2,15
Home Office,Office Supplies,Artwork and Statues,Cambridge,22-Nov-19,2138,Eastern,On Schedule,Massachusetts,0,3,21
Home Office,Technology,Cables and Connectors,Cambridge,11-Mar-21,2138,Eastern,Early Delivery,Massachusetts,9,2,201
Home Office,Office Furniture,Corner Desks,Cambridge,11-Mar-21,2138,Eastern,Early Delivery,Massachusetts,122,5,230
Home Office,Office Supplies,Folders,Cambridge,1-Oct-19,2138,Eastern,On Schedule,Massachusetts,0,6,302
Home Office,Technology,Phone and Fax,Cambridge,1-Oct-19,2138,Eastern,On Schedule,Massachusetts,9,10,20
Home Office,Office Supplies,Printing Paper,Cambridge,22-Nov-19,2138,Eastern,On Schedule,Massachusetts,5,3,6
Consumer,Office Supplies,Artwork and Statues,Malden,16-Mar-20,2148,Eastern,On Schedule,Massachusetts,7,5,158
Home Office,Office Supplies,Label Maker Tape,Malden,7-Sep-20,2148,Eastern,On Schedule,Massachusetts,7,8,20
Home Office,Office Furniture,Storage Cabinets,Malden,7-Sep-20,2148,Eastern,On Schedule,Massachusetts,77,3,74
Consumer,Office Supplies,Artwork and Statues,Everett,17-Nov-21,2149,Eastern,Late Delivery,Massachusetts,4,6,6
Consumer,Office Supplies,Artwork and Statues,Everett,15-Sep-21,2149,Eastern,Early Delivery,Massachusetts,4,2,13
Consumer,Technology,Cables and Connectors,Everett,14-Oct-18,2149,Eastern,Late Delivery,Massachusetts,12,1,53
Home Office,Technology,Cables and Connectors,Everett,27-Nov-19,2149,Eastern,Early Delivery,Massachusetts,9,2,33
Consumer,Office Furniture,Computer Chairs,Everett,14-Oct-18,2149,Eastern,Late Delivery,Massachusetts,48,3,6
Home Office,Office Furniture,Computer Chairs,Everett,21-Sep-19,2149,Eastern,Early Delivery,Massachusetts,2,3,97
Home Office,Office Furniture,Corner Desks,Everett,27-Nov-19,2149,Eastern,Early Delivery,Massachusetts,2,5,51
Consumer,Office Supplies,Folders,Everett,15-Sep-21,2149,Eastern,Early Delivery,Massachusetts,4,4,78
Consumer,Office Supplies,Label Maker Tape,Everett,28-Oct-21,2149,Eastern,Early Delivery,Massachusetts,6,7,65
Consumer,Technology,Phone and Fax,Everett,15-Sep-21,2149,Eastern,Early Delivery,Massachusetts,6,2,96
Home Office,Technology,Phone and Fax,Everett,21-Sep-19,2149,Eastern,Early Delivery,Massachusetts,8,1,2
Consumer,Office Supplies,Printing Paper,Everett,1-Nov-21,2149,Eastern,On Schedule,Massachusetts,79,2,24
Consumer,Office Supplies,Printing Paper,Everett,1-Nov-21,2149,Eastern,On Schedule,Massachusetts,3,2,239
Consumer,Office Supplies,Printing Paper,Everett,12-May-21,2149,Eastern,Early Delivery,Massachusetts,40,3,102
Home Office,Office Supplies,Printing Paper,Everett,27-Nov-19,2149,Eastern,Early Delivery,Massachusetts,0,3,37
Home Office,Office Supplies,Printing Paper,Everett,27-Nov-19,2149,Eastern,Early Delivery,Massachusetts,0,3,74
Home Office,Office Supplies,Printing Paper,Everett,27-Nov-19,2149,Eastern,Early Delivery,Massachusetts,5,3,28
Home Office,Office Furniture,Standard Desks,Everett,27-Nov-19,2149,Eastern,Early Delivery,Massachusetts,86,6,3
Consumer,Office Supplies,Storage and Archive,Everett,14-Oct-18,2149,Eastern,Late Delivery,Massachusetts,7,4,340
Consumer,Office Furniture,Storage Cabinets,Everett,15-Sep-21,2149,Eastern,Early Delivery,Massachusetts,31,2,42
Home Office,Office Furniture,Storage Cabinets,Everett,27-Nov-19,2149,Eastern,Early Delivery,Massachusetts,2,3,76
Corporate,Office Supplies,Folders,Revere,1-Apr-18,2151,Eastern,Early Delivery,Massachusetts,7,5,27
Home Office,Office Supplies,Folders,Revere,13-Dec-19,2151,Eastern,Late Delivery,Massachusetts,9,6,40
Corporate,Office Supplies,Kitchen Appliances,Revere,10-Sep-19,2151,Eastern,Early Delivery,Massachusetts,1,7,5
Corporate,Office Supplies,Printing Paper,Revere,10-Sep-19,2151,Eastern,Early Delivery,Massachusetts,2,3,24
Home Office,Office Supplies,Printing Paper,Revere,13-Dec-19,2151,Eastern,Late Delivery,Massachusetts,22,3,130
Corporate,Office Supplies,Storage and Archive,Revere,1-Apr-18,2151,Eastern,Early Delivery,Massachusetts,3,5,788
Corporate,Office Furniture,Storage Cabinets,Revere,10-Sep-19,2151,Eastern,Early Delivery,Massachusetts,6,2,158
Home Office,Technology,Cables and Connectors,Quincy,3-Jul-21,2169,Eastern,On Schedule,Massachusetts,32,2,47
Home Office,Office Furniture,Corner Desks,Quincy,21-Sep-19,2169,Eastern,On Schedule,Massachusetts,5,5,31
Consumer,Office Supplies,Envelopes,Quincy,26-Aug-20,2169,Eastern,Late Delivery,Massachusetts,28,2,227
Consumer,Office Supplies,Folders,Quincy,26-Aug-20,2169,Eastern,Late Delivery,Massachusetts,3,4,115
Consumer,Technology,Phone and Fax,Quincy,26-Aug-20,2169,Eastern,Late Delivery,Massachusetts,19,3,68
Consumer,Office Supplies,Printing Paper,Quincy,26-Aug-20,2169,Eastern,Late Delivery,Massachusetts,15,2,601
Consumer,Office Supplies,Printing Paper,Quincy,26-Aug-20,2169,Eastern,Late Delivery,Massachusetts,3,2,618
Consumer,Office Supplies,Printing Paper,Quincy,14-Jan-21,2169,Eastern,Early Delivery,Massachusetts,5,2,2
Consumer,Office Supplies,Printing Paper,Quincy,22-Nov-19,2169,Eastern,Early Delivery,Massachusetts,9,3,244
Home Office,Office Supplies,Printing Paper,Quincy,3-Jul-21,2169,Eastern,On Schedule,Massachusetts,4,3,81
Consumer,Office Furniture,Standard Desks,Quincy,26-Aug-20,2169,Eastern,Late Delivery,Massachusetts,2,4,239
Consumer,Technology,Cables and Connectors,New Bedford,18-Aug-21,2740,Eastern,Early Delivery,Massachusetts,12,1,60
Corporate,Office Supplies,Folders,New Bedford,24-Dec-21,2740,Eastern,Early Delivery,Massachusetts,8,5,78
Corporate,Office Supplies,Folders,New Bedford,17-Aug-19,2740,Eastern,Early Delivery,Massachusetts,3,5,21
Corporate,Technology,Phone and Fax,New Bedford,11-Dec-21,2740,Eastern,Late Delivery,Massachusetts,3,5,20
Corporate,Office Supplies,Printing Paper,New Bedford,24-Dec-21,2740,Eastern,Early Delivery,Massachusetts,43,3,35
Corporate,Technology,Cables and Connectors,Warwick,7-Jul-21,2886,Eastern,Early Delivery,Rhode Island,23,2,12
Corporate,Technology,Printers,Warwick,22-Dec-20,2886,Eastern,Late Delivery,Rhode Island,27,3,4
Corporate,Office Supplies,Printing Paper,Warwick,17-Oct-21,2886,Eastern,Early Delivery,Rhode Island,30,4,76
Corporate,Office Supplies,Printing Paper,Warwick,20-May-20,2886,Eastern,Late Delivery,Rhode Island,7,5,66
Corporate,Office Supplies,Storage and Archive,Warwick,17-Oct-21,2886,Eastern,Early Delivery,Rhode Island,8,4,43
Consumer,Office Furniture,Corner Desks,Woonsocket,25-Nov-18,2895,Eastern,Early Delivery,Rhode Island,7,5,83
Corporate,Office Supplies,Folders,Woonsocket,12-Sep-21,2895,Eastern,Late Delivery,Rhode Island,7,2,9
Corporate,Office Supplies,Printing Paper,Woonsocket,12-Sep-21,2895,Eastern,Late Delivery,Rhode Island,5,5,11
Corporate,Office Supplies,Storage and Archive,Woonsocket,23-May-19,2895,Eastern,Early Delivery,Rhode Island,6,4,144
Corporate,Technology,Cables and Connectors,Providence,24-Apr-21,2908,Eastern,Late Delivery,Rhode Island,4,2,839
Home Office,Technology,Cables and Connectors,Providence,2-Aug-19,2908,Eastern,On Schedule,Rhode Island,943,2,672
Home Office,Technology,Cables and Connectors,Providence,31-Dec-18,2908,Eastern,Late Delivery,Rhode Island,-162,2,94
Home Office,Office Furniture,Computer Chairs,Providence,18-Sep-20,2908,Eastern,Late Delivery,Rhode Island,8,7,384
Home Office,Office Furniture,Computer Chairs,Providence,2-Aug-19,2908,Eastern,On Schedule,Rhode Island,14,7,150
Home Office,Office Furniture,Computer Chairs,Providence,31-Dec-18,2908,Eastern,Late Delivery,Rhode Island,69,7,1952
Home Office,Office Furniture,Corner Desks,Providence,1-Dec-20,2908,Eastern,On Schedule,Rhode Island,48,6,172
Consumer,Office Supplies,Folders,Providence,12-Apr-21,2908,Eastern,On Schedule,Rhode Island,6,1,158
Home Office,Office Supplies,Folders,Providence,18-Sep-20,2908,Eastern,Late Delivery,Rhode Island,11,2,203
Home Office,Office Supplies,Folders,Providence,3-Oct-20,2908,Eastern,Early Delivery,Rhode Island,54,3,58
Corporate,Technology,Phone and Fax,Providence,27-Feb-19,2908,Eastern,Early Delivery,Rhode Island,6,3,106
Home Office,Technology,Phone and Fax,Providence,2-Aug-19,2908,Eastern,On Schedule,Rhode Island,23,3,81
Home Office,Technology,Phone and Fax,Providence,1-Dec-20,2908,Eastern,On Schedule,Rhode Island,19,3,7
Home Office,Technology,Printers,Providence,3-Oct-20,2908,Eastern,Early Delivery,Rhode Island,-4,3,458
Consumer,Office Supplies,Printing Paper,Providence,7-Sep-21,2908,Eastern,Late Delivery,Rhode Island,7,4,15
Consumer,Office Supplies,Printing Paper,Providence,7-Sep-21,2908,Eastern,Late Delivery,Rhode Island,-34,4,945
Consumer,Office Supplies,Printing Paper,Providence,12-Apr-21,2908,Eastern,On Schedule,Rhode Island,6,5,6
Corporate,Office Supplies,Printing Paper,Providence,7-Jul-20,2908,Eastern,Early Delivery,Rhode Island,34,5,54
Home Office,Office Supplies,Printing Paper,Providence,18-Sep-20,2908,Eastern,Late Delivery,Rhode Island,-1,5,28
Home Office,Office Supplies,Printing Paper,Providence,2-Aug-19,2908,Eastern,On Schedule,Rhode Island,5,5,28
Home Office,Office Supplies,Printing Paper,Providence,31-Dec-18,2908,Eastern,Late Delivery,Rhode Island,4,6,10
Home Office,Office Supplies,Printing Paper,Providence,31-Dec-18,2908,Eastern,Late Delivery,Rhode Island,77,7,8160
Corporate,Office Furniture,Standard Desks,Providence,27-Feb-19,2908,Eastern,Early Delivery,Rhode Island,7,1,276
Corporate,Office Supplies,Stationary Supplies,Providence,22-Dec-21,2908,Eastern,Late Delivery,Rhode Island,9,2,1740
Consumer,Office Supplies,Storage and Archive,Providence,18-Sep-20,2908,Eastern,Late Delivery,Rhode Island,48,4,32
Consumer,Office Supplies,Storage and Archive,Providence,25-Jun-20,2908,Eastern,Late Delivery,Rhode Island,4,4,178
Home Office,Office Supplies,Storage and Archive,Providence,18-Sep-20,2908,Eastern,Late Delivery,Rhode Island,-1,4,144
Home Office,Office Supplies,Storage and Archive,Providence,3-Oct-20,2908,Eastern,Early Delivery,Rhode Island,112,4,21
Home Office,Office Supplies,Storage and Archive,Providence,1-Dec-20,2908,Eastern,On Schedule,Rhode Island,13,4,111
Corporate,Office Furniture,Storage Cabinets,Providence,22-Dec-21,2908,Eastern,Late Delivery,Rhode Island,8,10,340
Home Office,Office Furniture,Storage Cabinets,Providence,31-Dec-18,2908,Eastern,Late Delivery,Rhode Island,20,4,52
Consumer,Office Supplies,Artwork and Statues,Cranston,31-Oct-18,2920,Eastern,Early Delivery,Rhode Island,7,3,20
Consumer,Office Furniture,Computer Chairs,Cranston,31-Oct-18,2920,Eastern,Early Delivery,Rhode Island,23,6,97
Consumer,Office Furniture,Corner Desks,Cranston,31-Oct-18,2920,Eastern,Early Delivery,Rhode Island,4,4,397
Consumer,Office Furniture,Corner Desks,Cranston,31-Oct-18,2920,Eastern,Early Delivery,Rhode Island,5,5,16
Corporate,Office Furniture,Corner Desks,Cranston,23-Oct-21,2920,Eastern,On Schedule,Rhode Island,31,5,3
Corporate,Office Furniture,Corner Desks,Cranston,23-Oct-21,2920,Eastern,On Schedule,Rhode Island,-86,6,25
Consumer,Office Supplies,Folders,Cranston,31-Oct-18,2920,Eastern,Early Delivery,Rhode Island,7,1,409
Consumer,Office Supplies,Folders,Cranston,24-Jun-21,2920,Eastern,Early Delivery,Rhode Island,9,2,504
Corporate,Office Supplies,Kitchen Appliances,Cranston,23-Oct-21,2920,Eastern,On Schedule,Rhode Island,1906,3,150
Consumer,Office Supplies,Printing Paper,Cranston,31-Oct-18,2920,Eastern,Early Delivery,Rhode Island,4,5,29
Corporate,Office Supplies,Printing Paper,Cranston,23-Oct-21,2920,Eastern,On Schedule,Rhode Island,147,5,7
Consumer,Office Furniture,Standard Desks,Cranston,31-Oct-18,2920,Eastern,Early Delivery,Rhode Island,5,1,177
Corporate,Office Furniture,Standard Desks,Cranston,23-Oct-21,2920,Eastern,On Schedule,Rhode Island,17,1,37
Corporate,Office Furniture,Standard Desks,Cranston,23-Oct-21,2920,Eastern,On Schedule,Rhode Island,20,1,20
Corporate,Office Supplies,Storage and Archive,Cranston,8-Oct-21,2920,Eastern,Late Delivery,Rhode Island,9,4,899
Home Office,Office Supplies,Storage and Archive,Cranston,8-Dec-21,2920,Eastern,Early Delivery,Rhode Island,7,4,72
Corporate,Office Furniture,Corner Desks,Nashua,24-Dec-20,3060,Eastern,Late Delivery,New Hampshire,11,7,52
Consumer,Office Supplies,Envelopes,Nashua,4-Sep-21,3060,Eastern,Early Delivery,New Hampshire,23,3,626
Home Office,Office Supplies,Artwork and Statues,Concord,6-Aug-21,3301,Eastern,On Schedule,New Hampshire,54,5,20
Home Office,Technology,Cables and Connectors,Concord,17-Jan-20,3301,Eastern,Early Delivery,New Hampshire,-18,1,14
Home Office,Technology,Cables and Connectors,Concord,17-Jan-20,3301,Eastern,Early Delivery,New Hampshire,90,7,7
Home Office,Office Furniture,Corner Desks,Concord,17-Jan-20,3301,Eastern,Early Delivery,New Hampshire,945,6,6
Consumer,Office Furniture,Corner Desks,Concord,3-Jul-21,3301,Eastern,On Schedule,New Hampshire,6,6,46
Corporate,Office Furniture,Corner Desks,Concord,28-May-21,3301,Eastern,On Schedule,New Hampshire,71,7,3
Consumer,Office Supplies,Folders,Concord,25-Sep-19,3301,Eastern,Early Delivery,New Hampshire,165,2,16
Corporate,Office Supplies,Folders,Concord,14-Oct-18,3301,Eastern,Early Delivery,New Hampshire,53,2,22
Home Office,Office Supplies,Label Maker Tape,Concord,6-Aug-21,3301,Eastern,On Schedule,New Hampshire,-18,5,219
Home Office,Technology,Phone and Fax,Concord,6-Aug-21,3301,Eastern,On Schedule,New Hampshire,3,5,3
Consumer,Office Supplies,Printing Paper,Concord,19-Oct-19,3301,Eastern,On Schedule,New Hampshire,146,7,66
Home Office,Office Supplies,Printing Paper,Concord,3-Dec-19,3301,Eastern,Early Delivery,New Hampshire,-3,8,35
Home Office,Office Supplies,Stationary Supplies,Concord,28-Aug-20,3301,Eastern,Early Delivery,New Hampshire,-3,4,445
Corporate,Office Supplies,Storage and Archive,Concord,14-Oct-18,3301,Eastern,Early Delivery,New Hampshire,56,4,84
Home Office,Office Supplies,Storage and Archive,Concord,22-Sep-21,3301,Eastern,Early Delivery,New Hampshire,17,4,132
Corporate,Office Supplies,Artwork and Statues,Dover,20-May-18,3820,Eastern,Early Delivery,New Hampshire,42,3,16
Corporate,Technology,Cables and Connectors,Dover,3-Mar-20,3820,Eastern,Early Delivery,New Hampshire,44,1,52
Home Office,Technology,Cables and Connectors,Dover,19-Dec-19,3820,Eastern,Late Delivery,New Hampshire,-7,1,92
Corporate,Office Furniture,Corner Desks,Dover,20-May-18,3820,Eastern,Early Delivery,New Hampshire,28,7,21
Consumer,Office Supplies,Folders,Dover,14-Mar-19,3820,Eastern,Early Delivery,New Hampshire,38,2,24
Corporate,Office Supplies,Kitchen Appliances,Dover,20-May-18,3820,Eastern,Early Delivery,New Hampshire,125,3,452
Consumer,Office Supplies,Label Maker Tape,Dover,14-Mar-19,3820,Eastern,Early Delivery,New Hampshire,35,5,63
Corporate,Office Supplies,Printing Paper,Dover,16-Feb-19,3820,Eastern,Early Delivery,New Hampshire,7,8,1188
Home Office,Office Supplies,Printing Paper,Dover,19-Dec-19,3820,Eastern,Late Delivery,New Hampshire,-2,8,90
Home Office,Office Furniture,Standard Desks,Dover,19-Dec-19,3820,Eastern,Late Delivery,New Hampshire,23,1,93
Home Office,Technology,Cables and Connectors,Lewiston,13-Jun-19,4240,Eastern,On Schedule,Maine,2,7,302
Home Office,Office Supplies,Folders,Lewiston,13-Jun-19,4240,Eastern,On Schedule,Maine,5,2,6
Home Office,Office Supplies,Folders,Lewiston,13-Jun-19,4240,Eastern,On Schedule,Maine,-55,2,23
Corporate,Technology,Cables and Connectors,Bangor,4-Aug-18,4401,Eastern,Early Delivery,Maine,23,7,20
Corporate,Office Furniture,Corner Desks,Bangor,16-Sep-20,4401,Eastern,Early Delivery,Maine,40,2,73
Corporate,Office Supplies,Kitchen Appliances,Bangor,4-Aug-18,4401,Eastern,Early Delivery,Maine,40,5,480
Corporate,Technology,Phone and Fax,Bangor,16-Sep-20,4401,Eastern,Early Delivery,Maine,34,4,27
Corporate,Office Supplies,Printing Paper,Bangor,4-Aug-18,4401,Eastern,Early Delivery,Maine,16,2,2
Consumer,Office Supplies,Folders,Bristol,30-Aug-18,6010,Eastern,Early Delivery,Connecticut,13,3,622
Corporate,Office Supplies,Folders,Bristol,19-Jul-18,6010,Eastern,Early Delivery,Connecticut,460,3,22
Corporate,Office Supplies,Folders,Bristol,19-Jul-18,6010,Eastern,Early Delivery,Connecticut,40,3,162
Corporate,Office Supplies,Kitchen Appliances,Bristol,3-Sep-19,6010,Eastern,Late Delivery,Connecticut,124,7,390
Corporate,Technology,Phone and Fax,Bristol,3-Sep-19,6010,Eastern,Late Delivery,Connecticut,-8,3,19
Corporate,Technology,Phone and Fax,Bristol,19-Jul-18,6010,Eastern,Early Delivery,Connecticut,4,3,234
Corporate,Office Furniture,Standard Desks,Bristol,19-Jul-18,6010,Eastern,Early Delivery,Connecticut,9,2,621
Consumer,Office Supplies,Storage and Archive,Bristol,30-Aug-18,6010,Eastern,Early Delivery,Connecticut,56,5,5
